出版社,冊次,課次,Label,GCS 連結,GitHub Pages 連結
南一,B4,U6,NI_B4_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B4_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B4_U6
南一,B5,U1,NI_B5_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U1
南一,B5,U2,NI_B5_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U2
南一,B5,U3,NI_B5_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U3
南一,B5,U4,NI_B5_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U4
南一,B5,U5,NI_B5_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U5#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U5
南一,B5,U6,NI_B5_U6,https://www.jutor.ai/event/wordgym/index.html?label=NI_B5_U6#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B5_U6
南一,B6,U1,NI_B6_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U1#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B6_U1
南一,B6,U2,NI_B6_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U2#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B6_U2
南一,B6,U3,NI_B6_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U3#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B6_U3
南一,B6,U4,NI_B6_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B6_U4#/,https://youngger9765.github.io/WordGym-students-merge/?label=NI_B6_U4
